Year,Month,Airline,Flights,Passengers,PLF,PaxKm,MarketShare,FlightHours,Date,MonthName
2015,11,Vistara,1268,136357.0,72.169,138517.0,0.9352913150844627,1979.86,2015-11-01,Nov 2015
2015,12,Air Costa,691,55444.0,87.056,45720.0,0.36120472106896373,833.1,2015-12-01,Dec 2015
2015,12,Air India,8857,1217671.0,86.947,1158949.0,7.9328423978927605,16222.0,2015-12-01,Dec 2015
2015,12,Air India Express,56,10568.0,62.255,5532.0,0.0688480537525577,97.0,2015-12-01,Dec 2015
2015,12,Air Pegasus,384,20554.0,82.615,8516.0,0.13390451332608544,424.02,2015-12-01,Dec 2015
2015,12,AirAsia India,1230,181483.0,82.728,206958.0,1.1823193924276523,1726.0,2015-12-01,Dec 2015
2015,12,Alliance Air,827,33139.0,72.196,17631.0,0.21589285137263528,1166.0,2015-12-01,Dec 2015
2015,12,Go First,4200,639264.0,86.502,603414.0,4.164655775366677,7560.3,2015-12-01,Dec 2015
2015,12,IndiGo,18677,2743325.0,88.493,2835728.0,17.872122166988582,33391.32,2015-12-01,Dec 2015
2015,12,Jet Airways,12595,1393452.0,83.707,1226114.0,9.078014590992527,20707.0,2015-12-01,Dec 2015
2015,12,JetLite,1807,217169.0,83.0,175735.0,1.4148053544085164,2739.0,2015-12-01,Dec 2015
2015,12,SpiceJet,7653,976517.0,92.13,869627.138,6.361780365848446,9933.0,2015-12-01,Dec 2015
2015,12,Total Domestic,58821,7674872.0,86.973,7331974.138,50.0,97684.9,2015-12-01,Dec 2015
2015,12,TruJet,470,27938.0,82.729,12636.0,0.18200955012669917,652.19,2015-12-01,Dec 2015
2015,12,Vistara,1374,158348.0,77.59,165414.0,1.031600266427896,2233.97,2015-12-01,Dec 2015
2016,1,Air Costa,765,58607.0,83.985,47775.0,0.38451601186687256,903.36,2016-01-01,Jan 2016
2016,1,Air India,8964,1157645.0,82.018,1099577.0,7.59521965904458,16491.0,2016-01-01,Jan 2016
2016,1,Air India Express,169,9535.0,62.312,6248.0,0.06255840041549013,170.0,2016-01-01,Jan 2016
2016,1,Air Pegasus,428,23487.0,83.776,9528.31,0.15409639754154345,464.24,2016-01-01,Jan 2016
2016,1,AirAsia India,1196,174996.0,81.921,198046.0,1.1481352741593194,1667.0,2016-01-01,Jan 2016
2016,1,Alliance Air,884,29601.0,64.447,17226.0,0.19420988051378324,1210.0,2016-01-01,Jan 2016
2016,1,Blue Dart Aviation,455,0.0,0.0,0.0,0.0,855.3,2016-01-01,Jan 2016
2016,1,Go First,4116,618650.0,84.872,584844.0,4.058914988677816,7517.09,2016-01-01,Jan 2016
2016,1,IndiGo,19350,2725711.0,84.659,2818080.0,17.88317987990624,34712.57,2016-01-01,Jan 2016
2016,1,Jet Airways,13044,1426254.0,82.496,1255562.0,9.357542614178758,21606.0,2016-01-01,Jan 2016
2016,1,JetLite,1751,206231.0,82.467,164717.0,1.3530657027883528,2638.0,2016-01-01,Jan 2016
2016,1,SpiceJet,8014,1010933.0,92.114,896984.433,6.6326535298618445,10372.0,2016-01-01,Jan 2016
2016,1,Total Domestic,60969,7620879.0,84.258,7270990.743,50.0,101540.73,2016-01-01,Jan 2016
2016,1,TruJet,486,29163.0,83.11,13182.0,0.19133619625767578,694.17,2016-01-01,Jan 2016
2016,1,Vistara,1347,150066.0,74.821,159221.0,0.9845714647877233,2240.0,2016-01-01,Jan 2016
2016,2,Air Costa,690,56760.0,87.055,44041.0,0.38127004841645973,798.0,2016-02-01,Feb 2016
2016,2,Air India,8482,1085634.0,80.195,1015279.0,7.292454681863194,15485.0,2016-02-01,Feb 2016
2016,2,Air India Express,144,6724.0,53.495,3444.0,0.0451666632408787,130.0,2016-02-01,Feb 2016
2016,2,Air Pegasus,340,19135.0,85.418,7789.24,0.12853422086767013,371.14,2016-02-01,Feb 2016
2016,2,AirAsia India,1084,166829.0,86.772,189144.0,1.120628980043509,1526.0,2016-02-01,Feb 2016
2016,2,Alliance Air,775,35835.0,66.036,19904.0,0.24071198352719936,1423.0,2016-02-01,Feb 2016
2016,2,Blue Dart Aviation,479,0.0,0.0,0.0,0.0,832.55,2016-02-01,Feb 2016
2016,2,Go First,3923,595139.0,86.354,560809.0,3.9976863168520693,7099.13,2016-02-01,Feb 2016
2016,2,IndiGo,19056,2754131.0,86.047,2824045.0,18.500134949176754,34033.75,2016-02-01,Feb 2016
2016,2,Jet Airways,12438,1366421.0,83.04,1187499.0,9.178565906047698,20383.0,2016-02-01,Feb 2016
2016,2,JetLite,1746,206391.0,80.895,167434.0,1.3863760846145445,2730.0,2016-02-01,Feb 2016
2016,2,SpiceJet,7642,976302.0,92.31,860370.314,6.558046349702017,9829.0,2016-02-01,Feb 2016
2016,2,Total Domestic,58590,7443543.0,84.847,7043336.554,50.0,97464.566,2016-02-01,Feb 2016
2016,2,TruJet,450,25585.0,78.859,11608.0,0.17186036273317692,650.916,2016-02-01,Feb 2016
2016,2,Vistara,1341,148657.0,73.875,151970.0,0.9985634529148283,2173.08,2016-02-01,Feb 2016
2016,3,Air Costa,608,54387.0,82.081,44391.0,0.3470594106084155,775.43,2016-03-01,Mar 2016
2016,3,Air India,9029,1086743.0,75.922,1026262.0,6.93482606253004,16452.0,2016-03-01,Mar 2016
2016,3,Air India Express,156,6715.0,54.652,3883.0,0.042850385978919776,141.0,2016-03-01,Mar 2016
2016,3,Air Pegasus,284,14420.0,76.563,5968.4,0.09201825254147777,325.1,2016-03-01,Mar 2016
2016,3,AirAsia India,1216,176832.0,82.666,205005.0,1.1284168955211231,2043.0,2016-03-01,Mar 2016
